AdrID,AkpIDTase0,AkpIDTase1,AkpIDTase2,AkpIDTase3,AkpIDTase4,AkpIDTase5,AkpIDTase6,AkpIDTase7,AkpIDTase8,AdrAadress,KdIDAdressiStaatus,AdrOige,AdrSihtnumber,AdrMajaNr,ADS_ADR_ID,ADS_ADR_TEKST,ADS_ADS_OID,ADS_ADR_MUUDETI,ADS_ORIG_TUNNUS,ADS_MUUD_OBJEKTID,ADS_KOODAADRESS,ADS_ADOB_ID,ADSILID,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsID
3745356,,52,567.0,5861.0,,0W2A,,DA9C,,"Järva maakond, Paide linn, Paide linn, Rahu tn 6",549,,93810,6,,,EE00842525,,,,,10942602,,2371.0,2024-02-09 10:48:15,,,,19.0
2076164,,37,353.0,3343.0,,,0B7G,,,"Harju maakond, Kuusalu vald, Kolgaküla, Pähkla",549,,24592,,,,ME01847749,,,,,6332652,,,,,,,
3484915,,45,251.0,4389.0,,0U7A,,,,"Ida-Viru maakond, Jõhvi vald, Linna küla, Toila tn",549,,13278,,,,LP00022062,,,,,9859786,,,,,,,
3769898,,68,806.0,8120.0,,0KRP,,6S2H,,"Pärnu maakond, Tori vald, Tammiste küla, Rannamaja tee 5",549,,46048,5,,,EE03522464,,,,,11009185,,6195.0,2025-02-01 09:24:31,,,,21.0
2974489,,68,214.0,6103.0,,,7S28,,,"Pärnu maakond, Häädemeeste vald, Penu küla, Puurkaevu",549,,42098,,,,CU01642428,,,,,8483855,,,,,,,
2883291,,45,511.0,,,014B,,5U1X,,"Ida-Viru maakond, Narva linn, Lahe tn 68",549,,39256,68,,,EE01067994,,,,,10693224,,3599.0,2023-03-06 03:00:41,,,,44.0
2138743,,37,784.0,524.0,,060Y,,1ODD,0AE8,"Harju maakond, Tallinn, Nõmme linnaosa, Vabaduse pst 137-4",549,,28289,137,,,ER01182646,,,,,6425120,,,,,,,
2774838,,45,321.0,747.0,2562,,,0FOE,,"Ida-Viru maakond, Kohtla-Järve linn, Sompa linnaosa, Rutiku vkt 34",549,,23434,34,,,CU00166957,,,,,8059353,,,,,,,
3246074,,45,442.0,7680.0,,074G,,1IDF,,"Ida-Viru maakond, Lüganuse vald, Sonda alevik, Jaama tn 1a",549,,98696,1a,,,CU00430279,,,,,9091935,,3670.0,2017-06-11 13:36:22,,,,41.0
3203689,,71,668.0,8788.0,,02KO,,2ZVJ,,"Rapla maakond, Rapla vald, Uusküla, Pääsukese tn 5",549,,81482,5,,,EE04142719,,,,,10959266,,419.0,2024-03-10 04:07:05,,,,48.0
3586892,,68,430.0,1649.0,,,0A9B,CN8D,,"Pärnu maakond, Lääneranna vald, Esivere küla, Kongru/1",549,,21395,1,,,EE01911756,,,,,10247681,,,,,,,
3267777,,87,917.0,9585.0,,0QCG,,9W7M,,"Võru maakond, Võru vald, Võrumõisa küla, Pihlapuu tee 11",549,,87397,11,,,EE00973487,,,,,9194250,,2481.0,2017-06-11 17:45:09,,,,38.0
3228791,,87,917.0,1305.0,,,AKYR,,,"Võru maakond, Võru vald, Andsumäe küla, Tilga-Jakobi",549,,65302,,,,ME02925768,,,,,9868438,,,,,,,
1766769,,37,653.0,6086.0,,07X9,,2RB9,64SM,"Harju maakond, Rae vald, Peetri alevik, Kuldala tee 7-21",549,,14165,7,,,ER01462853,,,,,7525892,,,,,,,
3726934,,81,857.0,8918.0,,0SAZ,,B1RF,,"Valga maakond, Valga vald, Valga linn, Männi tn 9",549,,13905,9,,,CU00532861,,,,,10850702,,4644.0,2024-02-01 12:19:21,,,,42.0
3220505,,64,622.0,4769.0,,0T5B,,BO3I,,"Põlva maakond, Põlva vald, Mammaste küla, Keldrikaela tee 5",549,,22280,5,,,ME02988630,,,,,9014832,,2178.0,2017-03-11 17:49:51,,,,9.0
3657100,,71,668.0,8982.0,,,GNNI,,,"Rapla maakond, Rapla vald, Vana-Kaiu küla, Paju",549,,38657,,,,ME01754404,,,,,10591155,,3830.0,2022-07-12 10:41:25,,,,32.0
3249041,,87,917.0,1134.0,,,72NS,,,"Võru maakond, Võru vald, Haidaku küla, Jaago",549,,40495,,,,ME02921381,,,,,9165063,,1722.0,2017-06-11 16:42:07,,,,11.0
3504015,,37,296.0,,,00DP,,CCTA,,"Harju maakond, Keila linn, Tammiku tee 2",549,,76237,2,,,CU03832426,,,,,10001207,,,,,,,
2990703,,81,557.0,2914.0,,,2DFV,,,"Valga maakond, Otepää vald, Keeni küla, Kengu",549,,88907,,,,EE03460294,,,,,9866025,,,,,,,
2822395,,60,272.0,2490.0,,06ET,,AM0Q,GTUT,"Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 2a/1-3",549,,13478,2a/1,,,ER02744073,,,,,8153472,,,,,,,
3702300,,87,732.0,9606.0,,,GUPX,,,"Võru maakond, Setomaa vald, Võõpsu küla, Pähnasoo",549,,83563,,,,CU03839803,,,,,10749779,,6806.0,2023-12-09 12:02:17,,,,31.0
2325184,,37,784.0,614.0,,047L,,0QH1,0GT9,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tuulemaa tn 8-34",549,,36062,8,,,ER01191188,,,,,6589910,,,,,,,
2922125,,68,430.0,9584.0,,,682Y,,,"Pärnu maakond, Lääneranna vald, Võrungi küla, Õie",549,,95181,,,,EE03096800,,,,,9460193,,,,,,,
3768789,,68,637.0,2400.0,,,149Y,,,"Pärnu maakond, Põhja-Pärnumaa vald, Kaansoo küla, Rehemäe",549,,81426,,,,ME03979855,,,,,11030950,,789.0,2025-02-01 09:31:09,,,,21.0
2908007,,79,586.0,2596.0,,0S49,,B10A,HMIO,"Tartu maakond, Peipsiääre vald, Kallaste linn, Oja tn 9-6",549,,64987,9,,,ER01452165,,,,,8318246,,,,,,,
3269673,,60,928.0,1476.0,,,1SLC,,,"Lääne-Viru maakond, Väike-Maarja vald, Avanduse küla, Mardi",549,,38893,,,,CU00047688,,,,,9177843,,5284.0,2017-06-11 17:12:06,,,,32.0
3228171,,87,917.0,2646.0,,,1PC5,,,"Võru maakond, Võru vald, Kamnitsa küla, Natali",549,,68878,,,,ME00833097,,,,,9156690,,6742.0,2017-06-11 16:20:22,,,,30.0
2989503,,79,171.0,6822.0,,,5HLW,,,"Tartu maakond, Elva vald, Rannu alevik, Sapi",549,,87236,,,,CU00377684,,,,,8511017,,4001.0,2017-01-11 12:33:26,,,,36.0
3162179,,64,622.0,1116.0,,,74QH,,,"Põlva maakond, Põlva vald, Ahja alevik, Sepa",549,,46463,,,,EE00816023,,,,,8964790,,6864.0,2017-03-11 15:56:16,,,,5.0
3139585,,64,284.0,6089.0,,,6VDK,,,"Põlva maakond, Kanepi vald, Peetrimõisa küla, Andri",549,,10851,,,,ME00817068,,,,,8843266,,6772.0,2017-02-11 18:04:13,,,,8.0
3382353,,50,247.0,2262.0,,0TDZ,,BRG9,JESE,"Jõgeva maakond, Jõgeva vald, Jõgeva linn, Rohu tn 4-11",549,,30926,4,,,ER01446378,,,,,9412084,,1032.0,2017-08-11 17:51:00,,,,27.0
3163317,,71,293.0,4392.0,,,3HBX,,,"Rapla maakond, Kehtna vald, Linnaaluste küla, Kungla",549,,65392,,,,ME02613127,,,,,8863398,,1388.0,2017-03-11 12:12:04,,,,14.0
3135425,,64,284.0,2667.0,,023G,,29KW,,"Põlva maakond, Kanepi vald, Kanepi alevik, Lille tn 10",549,,54597,10,,,ME04065797,,,,,10743377,,694.0,2023-11-09 14:21:37,,,,28.0
2807975,,60,903.0,3612.0,,0S17,,AZMW,HJ9S,"Lääne-Viru maakond, Viru-Nigula vald, Kunda linn, Koidu tn 81-40",549,,46421,81,,,ER01409767,,,,,8120855,,,,,,,
2330297,,37,784.0,614.0,,04CY,,9GSL,DRPM,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kotzebue tn 33-1",549,,30379,33,,,ER02284858,,,,,6507376,,,,,,,
2227024,,37,784.0,596.0,,040D,,1NXP,D0HN,"Harju maakond, Tallinn, Pirita linnaosa, Merivälja tee 70-33",549,,38221,70,,,MR03279236,,,,,6527003,,,,,,,
1248703,,37,198.0,8009.0,,0KT8,,619Y,,"Harju maakond, Harku vald, Tabasalu alevik, Laaniku tn 3",549,,54118,3,,,CU00072937,,,,,2027523,,,,,,,
2559086,,52,834.0,4153.0,,,4KAS,,,"Järva maakond, Türi vald, Laupa küla, Soosaare",549,,23396,,,,ME02460199,,,,,7637698,,,,,,,
2943909,,68,430.0,5990.0,,,1UU4,,,"Pärnu maakond, Lääneranna vald, Parasmaa küla, Alt-Jüri",549,,22156,,,,CU03733690,,,,,9745127,,,,,,,
3035672,,68,624.0,6962.0,,,F3KQ,,,"Pärnu maakond, Pärnu linn, Ridalepa küla, Siimu-Suurtalu",549,,59797,,,,CU00042947,,,,,8645731,,5391.0,2017-02-11 09:50:18,,,,41.0
314378,,74,478.0,2597.0,,,0OG2,,,"Saare maakond, Muhu vald, Kallaste küla, Munska",549,,22676,,,,EE00805896,,,,,2828409,,,,,,,
331337,,37,890.0,6613.0,,08I7,,3S8G,,"Harju maakond, Viimsi vald, Pärnamäe küla, Väike-Kaare tee 43",549,,57052,43,,,CU00558718,,,,,813229,,,,,,,
3250441,,45,130.0,9106.0,,,1P70,,,"Ida-Viru maakond, Alutaguse vald, Vasavere küla, Nurme",549,,55082,,,,CU00088848,,,,,9184324,,3040.0,2017-06-11 17:24:49,,,,13.0
3476013,,37,305.0,7880.0,,,EHR4,,,"Harju maakond, Kiili vald, Sõgula küla, Pihla",549,,89131,,,,CU03511470,,,,,9829596,,,,,,,
3175272,,71,668.0,4614.0,,,1MZO,,,"Rapla maakond, Rapla vald, Lõpemetsa küla, Lõppemardi",549,,44671,,,,EE00902379,,,,,10707090,,,,,,,
1567807,,37,245.0,4359.0,,0LG7,,7XQY,,"Harju maakond, Jõelähtme vald, Liivamäe küla, Uue-Suurekivi tee 4",549,,15695,4,,,EE03808220,,,,,9917849,,,,,,,
3239513,,87,917.0,9133.0,,07BN,,2H4R,,"Võru maakond, Võru vald, Vastseliina alevik, Võidu tn 20",549,,70217,20,,,EE00979838,,,,,9181902,,2700.0,2017-06-11 17:19:36,,,,50.0
3155245,,84,899.0,6789.0,,0NNU,,8P4M,D6IN,"Viljandi maakond, Viljandi vald, Ramsi alevik, Keskuse tee 5-26",549,,80284,5,,,ER01764228,,,,,8845216,,2232.0,2017-02-11 18:06:28,,,,8.0
2576363,,37,141.0,9827.0,,,42QV,,,"Harju maakond, Anija vald, Ülejõe küla, Rentniku",549,,26361,,,,ME02549588,,,,,10291557,,,,,,,
2757560,,45,321.0,265.0,,087Z,,32WO,3HR1,"Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Uus tn 5-43",549,,59615,5,,,ER01333898,,,,,8031287,,,,,,,
3710878,,37,431.0,4112.0,,,E02M,D7UN,,"Harju maakond, Lääne-Harju vald, Laoküla, Peko/1",549,,20328,1,,,EE01044242,,,,,10792840,,,,,,,
2429161,,37,784.0,614.0,,03P4,,3LTV,G1NJ,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Lõime tn 19-329",549,,82357,19,,,ER03455447,,,,,7023604,,,,,,,
3778637,,68,637.0,2486.0,,,597O,,,"Pärnu maakond, Põhja-Pärnumaa vald, Kadjaste küla, Kaarli",549,,48427,,,,CU00592376,,,,,11031073,,2914.0,2025-02-01 09:31:11,,,,43.0
2981902,,79,171.0,3216.0,,,0GJM,,,"Tartu maakond, Elva vald, Kobilu küla, Rootsu",549,,92397,,,,CU00171878,,,,,8494095,,881.0,2017-01-11 12:06:00,,,,25.0
2922705,,68,712.0,4235.0,,,2WVH,,,"Pärnu maakond, Saarde vald, Leipste küla, Kõrgemäe",549,,91070,,,,ME03087970,,,,,9639492,,,,,,,
3304023,,79,528.0,4856.0,,,6WUE,,,"Tartu maakond, Nõo vald, Meeri küla, Tavitsa",549,,57400,,,,ME00742440,,,,,10537973,,,,,,,
2210865,,37,784.0,482.0,,0JVC,,1FYG,AAYM,"Harju maakond, Tallinn, Mustamäe linnaosa, Mustamäe tee 185-42",549,,85674,185,,,ER01712435,,,,,6451576,,,,,,,
3630120,,45,803.0,6656.0,,0V33,,CV97,,"Ida-Viru maakond, Toila vald, Pühajõe küla, Leevikese tn 1",549,,35203,1,,,CU00503285,,,,,10482701,,1060.0,2022-10-05 12:31:26,,,,6.0
3645381,,79,796.0,8017.0,,0VBP,,CY2B,,"Tartu maakond, Tartu vald, Tabivere alevik, Pargi tn 31",549,,19116,31,,,ME02882702,,,,,10528375,,,,,,,
2970650,,39,205.0,3895.0,,0PZV,,9QIX,EMLF,"Hiiu maakond, Hiiumaa vald, Kärdla linn, Tormi tn 6-9",549,,16006,6,,,ER01474533,,,,,8468172,,,,,,,
3656282,,37,784.0,524.0,,03QS,,CON2,L8AV,"Harju maakond, Tallinn, Nõmme linnaosa, Tammepärja tn 3/2-6",549,,96673,3/2,,,ER04019284,,,,,10669828,,3919.0,2023-01-04 04:07:06,,,,49.0
2911422,,39,205.0,5728.0,,,1UYL,,,"Hiiu maakond, Hiiumaa vald, Orjaku küla, Luige",549,,39871,,,,EE01166538,,,,,8461767,,,,,,,
2859553,,45,511.0,,,015K,,AEZC,,"Ida-Viru maakond, Narva linn, Elektri tn 56",549,,47930,56,,,ME03395551,,,,,8263211,,,,,,,
2602164,,74,714.0,1067.0,,,0FSO,,,"Saare maakond, Saaremaa vald, Abula küla, Pärdi",549,,20458,,,,ME02603372,,,,,7735075,,,,,,,
3195391,,71,293.0,1550.0,,,3I1C,,,"Rapla maakond, Kehtna vald, Eidapere alevik, Tagapere",549,,40512,,,,CU03358298,,,,,9552086,,,,,,,
2196003,,37,784.0,339.0,,045M,,0R04,7YU4,"Harju maakond, Tallinn, Kristiine linnaosa, Räägu tn 10-8",549,,23238,10,,,ER01554257,,,,,6995121,,,,,,,
3462958,,50,618.0,6479.0,,0TVB,,C6IL,K2WT,"Jõgeva maakond, Põltsamaa vald, Puurmani alevik, Pargi tn 2-2",549,,59823,2,,,MR01750040,,,,,9802292,,,,,,,
3586958,,37,141.0,2928.0,,05PF,,CN8L,KLG8,"Harju maakond, Anija vald, Kehra linn, Mulla tn 4/1-27",549,,46434,4/1,,,MR03904265,,,,,10248512,,,,,,,
3227836,,84,615.0,7720.0,,,5BRE,,,"Viljandi maakond, Põhja-Sakala vald, Soomevere küla, Tooma 54B",549,,69429,,,,ME01846129,,,,,9162901,,5293.0,2017-06-11 16:37:10,,,,9.0
1835473,,37,198.0,1774.0,,0OM0,,8SVE,DHJO,"Harju maakond, Harku vald, Harku alevik, Instituudi tee 3-9",549,,93320,3,,,MR01531876,,,,,6180217,,,,,,,
3250027,,87,917.0,5708.0,,0QEA,,A0RB,,"Võru maakond, Võru vald, Orava küla, Solda tee 21",549,,57819,21,,,EE00833585,,,,,9150381,,1419.0,2017-06-11 16:04:20,,,,49.0
2211306,,37,784.0,482.0,,0JVC,,1SVQ,ARHW,"Harju maakond, Tallinn, Mustamäe linnaosa, Mustamäe tee 199-136",549,,31319,199,,,ER01736664,,,,,6597786,,,,,,,
3161257,,79,291.0,1752.0,,,5BPT,,,"Tartu maakond, Kastre vald, Hammaste küla, Pöögi-Avi",549,,58520,,,,ME00754987,,,,,8860644,,246.0,2017-03-11 12:06:35,,,,10.0
3756312,,60,928.0,8348.0,,0G97,,DCDH,LVOE,"Lääne-Viru maakond, Väike-Maarja vald, Triigi küla, Võimla tn 9-18",549,,56566,9,,,ER01896005,,,,,10985684,,2431.0,2024-12-12 13:07:40,,,,48.0
3163133,,79,291.0,1696.0,,,0GSF,,,"Tartu maakond, Kastre vald, Haaslava küla, Kalamajandi",549,,37460,,,,ME00736884,,,,,8960167,,6136.0,2017-03-11 15:47:27,,,,19.0
2574948,,52,255.0,2341.0,,06DA,,64E8,,"Järva maakond, Järva vald, Järva-Jaani alev, Pikk tn 100",549,,97841,100,,,CU00109087,,,,,7659460,,,,,,,
2801000,,45,321.0,120.0,,088S,,3GOZ,47ED,"Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Altserva tn 34-1",549,,44993,34,,,ER01366382,,,,,8108076,,,,,,,
3766336,,68,806.0,7607.0,,0TIY,,BTLL,,"Pärnu maakond, Tori vald, Sindi linn, Kirsi tn 7",549,,99593,7,,,ME00724001,,,,,11008688,,5516.0,2025-02-01 09:24:20,,,,43.0
3694207,,45,511.0,,,018J,,1VFN,5ABH,"Ida-Viru maakond, Narva linn, Madise tn 10-20",549,,94939,10,,,ER01419903,,,,,10728847,,5538.0,2023-01-09 13:23:57,,,,46.0
3118927,,79,793.0,8151.0,,0SHD,,BJ2G,J0FZ,"Tartu maakond, Tartu linn, Tartu linn, Kummeli tn 20b-13",549,,19358,20b,,,ER03546125,,,,,8762854,,899.0,2017-02-11 15:00:09,,,,43.0
3584648,,84,615.0,7839.0,,0UMO,,CMKE,,"Viljandi maakond, Põhja-Sakala vald, Suure-Jaani linn, Tallinna tn 14",549,,89840,14,,,CU03805910,,,,,10272617,,,,,,,
2212085,,37,784.0,387.0,,03SJ,,1FOF,AJEB,"Harju maakond, Tallinn, Lasnamäe linnaosa, Arbu tn 1-54",549,,93227,1,,,ER01726044,,,,,6434076,,,,,,,
3339289,,87,698.0,2571.0,,,57PC,,,"Võru maakond, Rõuge vald, Kaldemäe küla, Raja",549,,32431,,,,ME01042066,,,,,9349616,,3648.0,2017-08-11 14:43:07,,,,40.0
2558883,,52,834.0,6300.0,2D6U,,,70FY,,"Järva maakond, Türi vald, Poaka küla, Ülejõe vkt 26",549,,80010,26,,,ME00845511,,,,,7648039,,,,,,,
2626826,,74,714.0,9145.0,,0NT1,,,,"Saare maakond, Saaremaa vald, Vatsküla, Kopi tee",549,,42087,,,,LP02008375,,,,,10892644,,,,,,,
2552977,,37,784.0,387.0,,04GB,,AQC0,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Hooldekodu tee 21a",549,,31417,21a,,,ME03933066,,,,,10329619,,3041.0,2021-06-05 08:45:02,,,,27.0
3197387,,71,668.0,3541.0,,,5SV7,,,"Rapla maakond, Rapla vald, Kuimetsa küla, Mäenuka",549,,70589,,,,ME03808803,,,,,9919747,,1727.0,2019-04-11 16:02:21,,,,17.0
3496800,,37,198.0,8257.0,,0EC7,,CBE0,,"Harju maakond, Harku vald, Tiskre küla, Välja tee 21/2",549,,59735,21/2,,,EE03812501,,,,,10967887,,,,,,,
2734968,,37,431.0,5925.0,,0RWK,,AXPE,HHGP,"Harju maakond, Lääne-Harju vald, Paldiski linn, Muuli tn 3-73",549,,45382,3,,,ER01550173,,,,,9994286,,1316.0,2020-06-02 18:08:43,,,,34.0
3360133,,50,486.0,2800.0,,0KT0,,5J9P,,"Jõgeva maakond, Mustvee vald, Kasepää küla, Sõpruse tn 124",549,,93886,124,,,ME03204819,,,,,9374512,,6228.0,2017-08-11 15:40:41,,,,25.0
3306001,,68,303.0,4276.0,,,3U4S,,,"Pärnu maakond, Kihnu vald, Lemsi küla, Niidu",549,,83000,,,,ME03126998,,,,,9232284,,4319.0,2017-07-11 11:32:31,,,,13.0
2777535,,60,792.0,8140.0,,04NP,,2PF1,,"Lääne-Viru maakond, Tapa vald, Tapa linn, Võidu pst 14",549,,38785,14,,,ME00941434,,,,,8097490,,,,,,,
3719817,,81,857.0,8918.0,,0SCF,,B1TH,HMU2,"Valga maakond, Valga vald, Valga linn, Allika tn 4-57",549,,99733,4,,,ER01581946,,,,,10823688,,1844.0,2024-02-01 12:12:03,,,,26.0
2986365,,81,557.0,2837.0,,,5UBT,,,"Valga maakond, Otepää vald, Kastolatsi küla, Üla-Pettai",549,,52504,,,,CU00350168,,,,,10768048,,,,,,,
3449738,,45,511.0,,,014F,,C4HN,,"Ida-Viru maakond, Narva linn, Vesiroosi tn 63a",549,,17331,63a,,,EE03811005,,,,,10695464,,4499.0,2023-09-06 18:00:52,,,,12.0
3608440,,37,784.0,387.0,,03XI,,1SC5,KT4V,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sinimäe tn 1-19",549,,40021,1,,,ER03946606,,,,,10360957,,,,,,,
2909202,,39,205.0,4546.0,,,7EWW,,,"Hiiu maakond, Hiiumaa vald, Luidja küla, Uue-Lepa",549,,14207,,,,ME03078867,,,,,8464068,,,,,,,
2927269,,39,205.0,3009.0,,,4H43,,,"Hiiu maakond, Hiiumaa vald, Kiduspe küla, Paveli",549,,51347,,,,CU00211676,,,,,8365635,,,,,,,
