AsID,AsAlguseKpv,AsLopuKpv,AsKontakt,AsRegNumber,KdIDAsutuseLiik,AsLyhiNimi,AsPikkNimi,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsMuuKeelesNimi,KdIDStaatus,AsIDYlemus,KdIDRiik,AsAsutuseAadress,AsInglise,AsSaksa,AsPrantsuse,AsAsutuseKood,AkpID
1,1989-12-27,2002-04-29,info@asutus0.ee,77000281,559,Alutaguse Vallavalitsus,Alutaguse Vallavalitsus,20.0,1982-09-30,12.0,2015-10-13,,Muu keeles nimi,549,,,"Ida-Viru maakond, Alutaguse vald, Iisaku alevik, Tartu mnt 56, 41101",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7912,17
2,1982-09-03,1993-02-08,info@asutus1.ee,75018816,560,Anija Vallavalitsus,Anija Vallavalitsus,55.0,1981-06-01,,,,Muu keeles nimi,549,,,"Harju maakond, Anija vald, Kehra linn, F. R. Kreutzwaldi tn 6, 74307",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4611,230
3,2004-12-15,,info@asutus2.ee,75010418,559,Antsla Vallavalitsus,Antsla Vallavalitsus,185.0,1980-04-16,,,,Muu keeles nimi,549,,,"Võru maakond, Antsla vald, Antsla linn, F. R. Kreutzwaldi tn 1, 66403",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7924,175
4,2004-12-05,2022-01-19,info@asutus3.ee,14475830,560,Asjadevalitsuse OÜ,Asjadevalitsuse OÜ,205.0,1995-02-05,269.0,2012-02-20,,Muu keeles nimi,549,,,"Valga maakond, Tõrva vald, Alamõisa küla, Mõisa, 68403",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5333,414
5,1983-11-24,,info@asutus4.ee,80161970,560,Mittetulundusühing Avatud Vabariik,Mittetulundusühing Avatud Vabariik,24.0,1983-01-03,330.0,2024-05-17,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 8, 10151",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2291,283
6,2006-04-20,,info@asutus5.ee,90009861,559,Eestirootslaste Kultuuriomavalitsuse Sihtasutus,Eestirootslaste Kultuuriomavalitsuse Sihtasutus,134.0,1996-03-22,,,,Muu keeles nimi,549,,,"Lääne maakond, Haapsalu linn, Haapsalu linn, Sadama tn 31, 90502",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1750,339
7,2000-06-11,,info@asutus6.ee,80140436,559,EESTI ÕPILASESINDUSTE LIIT,EESTI ÕPILASESINDUSTE LIIT,175.0,1981-10-15,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 102-21, 11312",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7227,143
8,2020-09-04,,info@asutus7.ee,77000170,559,Elva Vallavalitsus,Elva Vallavalitsus,170.0,1996-05-13,223.0,2012-04-19,,Muu keeles nimi,549,,,"Tartu maakond, Elva vald, Elva linn, Kesk tn 32, 61507",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5374,360
9,1986-05-28,,info@asutus8.ee,75014244,559,Haabersti Linnaosa Valitsus,Haabersti Linnaosa Valitsus,64.0,1981-12-01,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Haabersti linnaosa, Ehitajate tee 109a/1, 13514",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3677,237
10,2014-01-15,,info@asutus9.ee,75012802,559,Haapsalu Linnavalitsus,Haapsalu Linnavalitsus,181.0,2008-09-15,,,,Muu keeles nimi,549,,,"Lääne maakond, Haapsalu linn, Haapsalu linn, Posti tn 34, 90504",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6313,432
11,1985-01-06,,info@asutus10.ee,75013144,560,Haljala Vallavalitsus,Haljala Vallavalitsus,205.0,1980-03-06,,,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Haljala vald, Haljala alevik, Tallinna mnt 13, 45301",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5386,34
12,1998-12-05,,info@asutus11.ee,80195199,560,Harjumaa Omavalitsuste Liit,Harjumaa Omavalitsuste Liit,189.0,1992-09-20,,,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Haabersti linnaosa, Sirge tn 2, 10618",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4483,336
13,2024-10-14,,info@asutus12.ee,75014132,559,Harku Vallavalitsus,Harku Vallavalitsus,93.0,2021-01-08,,,,Muu keeles nimi,549,,,"Harju maakond, Harku vald, Tabasalu alevik, Teenuste tn 2, 76901",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5339,72
14,2002-02-15,,info@asutus13.ee,77000424,560,Hiiumaa Vallavalitsus,Hiiumaa Vallavalitsus,208.0,1992-02-02,16.0,2018-04-23,,Muu keeles nimi,549,,,"Hiiu maakond, Hiiumaa vald, Kärdla linn, Keskväljak 5a, 92413",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7543,186
15,1999-09-04,,info@asutus14.ee,77000269,559,Häädemeeste Vallavalitsus,Häädemeeste Vallavalitsus,316.0,1983-02-07,,,,Muu keeles nimi,549,,,"Pärnu maakond, Häädemeeste vald, Uulu küla, Pargi tee 1, 86502",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1771,441
16,1989-11-01,1997-01-04,info@asutus15.ee,80189879,560,Ida-Virumaa Omavalitsuste Liit,Ida-Virumaa Omavalitsuste Liit,10.0,1988-11-18,,,,Muu keeles nimi,549,,,"Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Keskväljak 4, 41593",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7252,306
17,2021-12-28,,info@asutus16.ee,16850137,559,Infohaldustarkvara Omavalitsustele OÜ,Infohaldustarkvara Omavalitsustele OÜ,335.0,2004-10-25,,,,Muu keeles nimi,549,,,"Järva maakond, Türi vald, Lauri küla, Keldrimäe, 79215",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2876,350
18,2003-12-09,,info@asutus17.ee,75025973,559,Jõelähtme Vallavalitsus,Jõelähtme Vallavalitsus,330.0,1995-04-05,164.0,2014-10-05,,Muu keeles nimi,549,,,"Harju maakond, Jõelähtme vald, Jõelähtme küla, Postijaama tee 7, 74202",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8433,2
19,2003-08-18,,info@asutus18.ee,77000401,559,Jõgeva Vallavalitsus,Jõgeva Vallavalitsus,230.0,1988-01-06,,,,Muu keeles nimi,549,,,"Jõgeva maakond, Jõgeva vald, Jõgeva linn, Suur tn 5, 48306",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-5889,431
20,1997-11-04,2005-02-01,info@asutus19.ee,75033483,559,Jõhvi Vallavalitsus,Jõhvi Vallavalitsus,239.0,1992-02-05,,,,Muu keeles nimi,549,,,"Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Kooli tn 2, 41595",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6310,251
21,1981-09-30,1998-01-11,info@asutus20.ee,77000335,559,Järva Vallavalitsus,Järva Vallavalitsus,302.0,1980-11-10,314.0,1991-08-31,,Muu keeles nimi,549,,,"Järva maakond, Järva vald, Järva-Jaani alev, Pikk tn 56, 73301",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-2403,375
22,2023-08-07,,info@asutus21.ee,75007824,559,Kadrina Vallavalitsus,Kadrina Vallavalitsus,276.0,2014-02-12,,,,Muu keeles nimi,549,,,"Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 14, 45201",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3103,338
23,2022-08-22,,info@asutus22.ee,77000275,560,Kambja Vallavalitsus,Kambja Vallavalitsus,318.0,1987-05-29,292.0,2014-08-13,,Muu keeles nimi,549,,,"Tartu maakond, Kambja vald, Ülenurme alevik, Pargi tn 2, 61714",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4470,476
24,1998-01-17,,info@asutus23.ee,77000186,560,Kanepi Vallavalitsus,Kanepi Vallavalitsus,274.0,1988-12-12,,,,Muu keeles nimi,549,,,"Põlva maakond, Kanepi vald, Kanepi alevik, Turu põik 1, 63101",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8177,461
25,2020-07-03,2021-10-06,info@asutus24.ee,77000370,559,Kastre Vallavalitsus,Kastre Vallavalitsus,98.0,1982-11-15,201.0,2009-04-05,,Muu keeles nimi,549,,,"Tartu maakond, Kastre vald, Kurepalu küla, Vallamaja, 62113",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-1117,37
26,1985-04-13,,info@asutus25.ee,77000252,559,Kehtna Vallavalitsus,Kehtna Vallavalitsus,79.0,1985-01-28,283.0,1999-11-24,,Muu keeles nimi,549,,,"Rapla maakond, Kehtna vald, Kehtna alevik, Pargi tn 2, 79001",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-9423,122
27,2004-12-25,,info@asutus26.ee,80133761,560,Mittetulundusühing Keila Kooli Õpilasesindus,Mittetulundusühing Keila Kooli Õpilasesindus,280.0,1989-08-11,,,,Muu keeles nimi,549,,,"Harju maakond, Keila linn, Ehitajate tee 1, 76606",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4981,402
28,2022-06-07,,info@asutus27.ee,75014422,560,Keila Linnavalitsus,Keila Linnavalitsus,319.0,1988-07-16,209.0,2018-02-05,,Muu keeles nimi,549,,,"Harju maakond, Keila linn, Keskväljak 11, 76608",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-6804,217
29,2016-11-17,,info@asutus28.ee,75003967,559,Kihnu Vallavalitsus,Kihnu Vallavalitsus,206.0,2012-09-14,286.0,2014-11-29,,Muu keeles nimi,549,,,"Pärnu maakond, Kihnu vald, Linaküla, Kooli/1, 88003",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7596,373
30,2010-06-10,,info@asutus29.ee,75020983,560,Kiili Vallavalitsus,Kiili Vallavalitsus,253.0,1984-11-25,130.0,1993-06-07,,Muu keeles nimi,549,,,"Harju maakond, Kiili vald, Kiili alev, Nabala tee 2a, 75401",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3296,217
31,1996-06-17,,info@asutus30.ee,75018851,559,Kohila Vallavalitsus,Kohila Vallavalitsus,14.0,1985-08-08,,,,Muu keeles nimi,549,,,"Rapla maakond, Kohila vald, Kohila alev, Vabaduse tn 1, 79804",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-8260,414
32,1988-10-13,2013-01-11,info@asutus31.ee,75001017,559,Kohtla-Järve Linnavalitsus,Kohtla-Järve Linnavalitsus,196.0,1980-03-01,,,,Muu keeles nimi,549,,,"Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Keskallee 19, 30395",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-3724,209
33,2023-07-27,,info@asutus32.ee,75011547,559,Kose Vallavalitsus,Kose Vallavalitsus,23.0,2018-10-14,37.0,2019-06-11,,Muu keeles nimi,549,,,"Harju maakond, Kose vald, Kose alevik, Hariduse tn 1, 75101",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-7209,2
34,2015-01-10,,info@asutus33.ee,75014238,559,Kristiine Linnaosa Valitsus,Kristiine Linnaosa Valitsus,84.0,2000-05-29,113.0,2022-03-28,,Muu keeles nimi,549,,,"Harju maakond, Tallinn, Kristiine linnaosa, Metalli tn 5, 10615",Inglise keelne nimetus,Saksa keelne nimetus,Prantsuse keelne nimetus,AS-4111,152
