IAdrID,AdrID,IsID,IAdrKehtibAlatesKpv,IAdrKehtibKuniKpv,KdIDAadressiLiik,KdIDAadressiStaatus,DokIDAlus,IAdrIDJargmine,DokIDLopuAlus,ADSILID,IAdrPiirang,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsID
1,2697502,1,1999-04-22 19:46:15.045953,2016-04-30 00:00:00.000000,557,550,1,2.0,2.0,,,139.0,1997-05-27,162.0,2019-05-08 00:00:00.000000,,15
2,3523525,1,2016-05-01 00:00:00.000000,2024-01-21 19:46:15.045953,557,550,2,,,,,138.0,2011-09-23,,,,39
3,3289096,4324,2013-10-24 19:46:15.045953,2025-01-06 19:46:15.045953,557,550,3,,,,,329.0,1996-10-28,,,,24
4,3289096,476,2013-10-24 19:46:15.045953,2025-01-06 19:46:15.045953,557,550,4,,,,,330.0,2004-04-10,,,,41
5,3289096,3816,2013-10-24 19:46:15.045953,2025-01-06 19:46:15.045953,557,550,5,,,,,275.0,2007-02-07,,,,14
6,3656018,3,2021-08-26 19:46:15.045953,,554,549,6,,,,,327.0,2019-05-16,,,,15
7,3656018,3719,2021-08-26 19:46:15.045953,,554,549,7,,,,,291.0,2007-01-18,,,,26
8,3656018,893,2021-08-26 19:46:15.045953,,554,549,8,,,,,235.0,1993-05-10,,,,33
9,3656018,2336,2021-08-26 19:46:15.045953,,554,549,9,,,,,169.0,2001-11-21,,,,32
10,3656018,2470,2021-08-26 19:46:15.045953,,554,549,10,,,,,260.0,2021-01-27,,,,5
11,3656018,2560,2021-08-26 19:46:15.045953,,554,549,11,,,,,74.0,1993-08-08,,,,28
12,3656018,3304,2021-08-26 19:46:15.045953,,554,549,12,,,,,190.0,2020-04-01,,,,42
13,3656018,4112,2021-08-26 19:46:15.045953,2024-11-05 19:46:15.045953,557,550,13,,,,,329.0,2018-02-12,,,,24
14,3656018,4545,2021-08-26 19:46:15.045953,,554,549,14,,,,,301.0,2011-11-21,,,,47
15,3656018,4584,2021-08-26 19:46:15.045953,,554,549,15,,,,,274.0,1991-08-12,,,,16
16,3093091,4,2019-09-26 19:46:15.045953,,554,549,16,,,,,31.0,2000-03-16,,,,3
17,3093091,1054,2019-09-26 19:46:15.045953,,554,549,17,,,,,64.0,2009-06-20,,,,28
18,2203868,3680,1994-07-06 00:00:00.000000,2001-12-21 00:00:00.000000,557,550,18,19.0,19.0,,,302.0,1993-06-23,328.0,2015-01-19 00:00:00.000000,,42
19,2285187,3680,2001-12-22 00:00:00.000000,,554,549,19,,,,,156.0,1993-03-18,270.0,2004-08-08 00:00:00.000000,,37
20,2203868,5,1994-07-06 00:00:00.000000,2001-12-21 00:00:00.000000,557,550,20,21.0,21.0,,,175.0,1991-10-27,99.0,2010-05-18 00:00:00.000000,,23
21,2285187,5,2001-12-22 00:00:00.000000,,554,549,21,,,,,114.0,1999-08-30,184.0,2011-07-29 00:00:00.000000,,7
22,2203868,964,1994-07-06 00:00:00.000000,2001-12-21 00:00:00.000000,557,550,22,23.0,23.0,,,6.0,1992-04-23,,,,4
23,2285187,964,2001-12-22 00:00:00.000000,,554,549,23,,,,,117.0,1993-10-24,269.0,2010-12-21 00:00:00.000000,,38
24,2810084,7,1990-01-01 00:00:00.000000,2002-11-26 00:00:00.000000,557,550,24,25.0,25.0,,,34.0,1990-01-01,,,2010-08-26 00:00:00.000000,2
25,2619086,7,2002-11-27 00:00:00.000000,,554,549,25,,,,,213.0,1996-09-16,,,,6
26,2810084,3196,1990-01-01 00:00:00.000000,2002-11-26 00:00:00.000000,557,550,26,27.0,27.0,,,34.0,1990-01-01,271.0,2009-09-04 00:00:00.000000,,2
27,2619086,3196,2002-11-27 00:00:00.000000,,554,549,27,,,,,93.0,1994-06-20,,,,40
28,3001634,8,1990-01-01 00:00:00.000000,1994-10-14 00:00:00.000000,557,550,28,29.0,29.0,,,34.0,1990-01-01,,,,2
29,3608363,8,1994-10-15 00:00:00.000000,,554,549,29,,,,,292.0,1993-12-03,332.0,2011-09-04 00:00:00.000000,,45
30,3001634,4105,1990-01-01 00:00:00.000000,1994-10-14 00:00:00.000000,557,550,30,31.0,31.0,,,34.0,1990-01-01,,,,2
31,3608363,4105,1994-10-15 00:00:00.000000,,554,549,31,,,,,266.0,1993-11-05,,,,6
32,2591921,1449,2000-04-29 00:00:00.000000,,554,549,32,,,,,164.0,1990-05-17,,,,10
33,2591921,3905,1999-10-30 00:00:00.000000,,554,549,33,,,,,68.0,1991-12-21,245.0,2016-03-01 00:00:00.000000,,37
34,2591921,10,1999-10-30 00:00:00.000000,,554,549,34,,,,,211.0,1993-06-19,,,,44
35,2591921,1736,2000-04-29 00:00:00.000000,,554,549,35,,,,,36.0,1998-03-19,227.0,2011-06-14 00:00:00.000000,,12
36,2591921,3388,2000-04-29 00:00:00.000000,,554,549,36,,,,,32.0,1993-08-31,,,,18
37,2591921,4310,2000-04-29 00:00:00.000000,,554,549,37,,,,,248.0,1999-10-30,,,,48
38,3504190,11,1995-01-10 19:46:15.045953,2012-07-05 00:00:00.000000,557,550,38,39.0,39.0,,,151.0,1994-08-16,,,,25
39,3710245,11,2012-07-06 00:00:00.000000,2014-05-10 00:00:00.000000,557,550,39,40.0,40.0,,,187.0,2003-03-29,77.0,2015-08-24 00:00:00.000000,,5
40,3301914,11,2014-05-11 00:00:00.000000,,554,549,40,,,,,114.0,2011-01-04,,,,7
41,2357831,1624,2003-03-16 19:46:15.045953,,554,549,41,,,,,6.0,1995-11-18,,,,4
42,2357831,12,2003-03-16 19:46:15.045953,2024-01-17 19:46:15.045953,557,550,42,,,,,14.0,1990-04-25,,,,33
43,2357831,96,2003-03-16 19:46:15.045953,2024-11-21 19:46:15.045953,557,550,43,,,,,209.0,1992-10-09,,,,7
44,2357831,2593,2003-03-16 19:46:15.045953,,554,549,44,,,,,345.0,1998-05-02,24.0,2008-10-26 00:00:00.000000,,9
45,3175013,170,1990-01-01 00:00:00.000000,1991-02-15 00:00:00.000000,557,550,45,46.0,46.0,,,34.0,1990-01-01,252.0,2015-03-28 00:00:00.000000,,2
46,3613962,170,1991-02-16 00:00:00.000000,,554,549,46,,,,,162.0,1990-03-11,,,,24
47,3662456,4017,1990-01-01 00:00:00.000000,2017-05-14 00:00:00.000000,557,550,47,48.0,48.0,,,34.0,1990-01-01,81.0,2019-09-10 00:00:00.000000,,2
48,3613962,4017,2017-05-15 00:00:00.000000,,554,549,48,,,,,279.0,1994-06-11,,,,50
49,3662456,13,1990-01-01 00:00:00.000000,2017-05-14 00:00:00.000000,557,550,49,50.0,50.0,,,34.0,1990-01-01,262.0,2017-07-29 00:00:00.000000,,2
50,3613962,13,2017-05-15 00:00:00.000000,,554,549,50,,,,,213.0,2003-08-27,,,,6
