KodID,IsID,KdIDRiik,KodKehtibAlates,KodKehtibKuni,DokIDAlguseAlus,DokIDLopuAlus,KdIDStaatus,IAsIDLooja,IAsIDMuutja,LoodiKpv,MuudetiKpv,KustutatiKpv,AsID
1,1,110,2022-12-30 19:46:15.045953,,8098,,549,302.0,,1956-04-22,,,42
2,2,234,2024-07-04 19:46:15.045953,,8099,,549,166.0,,2001-12-04,,,34
3,3,100,2022-01-18 00:00:00.000000,,8100,,549,139.0,45.0,2008-04-03,2009-07-07 00:00:00.000000,,15
4,4,100,1992-12-21 00:00:00.000000,,8101,,549,214.0,252.0,1955-01-02,1990-09-19 00:00:00.000000,,14
5,5,101,2011-08-15 19:46:15.045953,,8102,,549,310.0,337.0,1985-08-23,2023-08-27 00:00:00.000000,,45
6,6,100,1991-03-28 00:00:00.000000,,8103,,549,214.0,291.0,1952-08-03,1963-03-19 00:00:00.000000,,14
7,7,100,1960-09-24 00:00:00.000000,,8104,,549,64.0,,1955-02-28,,,28
8,8,156,2012-09-16 19:46:15.045953,,8105,,549,240.0,,1989-10-01,,,6
9,9,131,2022-12-07 19:46:15.045953,,8106,,549,212.0,187.0,2003-05-01,2013-04-08 00:00:00.000000,,49
10,10,100,1952-11-23 00:00:00.000000,,8107,,549,23.0,,1952-03-04,,,45
11,11,274,2007-03-10 19:46:15.045953,,8108,,549,96.0,26.0,2005-04-03,2008-08-03 00:00:00.000000,,4
12,12,100,1963-06-03 00:00:00.000000,,8109,,549,13.0,,1961-06-20,,,24
13,13,100,2017-05-16 00:00:00.000000,,8110,,549,213.0,84.0,1993-12-20,2015-01-04 00:00:00.000000,,6
14,14,100,1990-07-31 00:00:00.000000,,8111,,549,54.0,,1988-02-09,,,35
15,15,100,1995-04-14 00:00:00.000000,,8112,,549,51.0,28.0,1963-09-27,1994-12-23 00:00:00.000000,,46
16,16,163,2024-06-17 19:46:15.045953,,8113,,549,7.0,,1997-08-22,,,42
17,17,100,1988-08-25 00:00:00.000000,,8114,,549,319.0,210.0,1957-12-09,2002-12-29 00:00:00.000000,,32
18,18,100,1966-10-24 00:00:00.000000,,8115,,549,207.0,,1965-08-11,,,36
19,19,100,1953-03-17 00:00:00.000000,,8116,,549,283.0,323.0,1953-03-13,1982-04-21 00:00:00.000000,,22
20,20,100,1973-02-01 00:00:00.000000,,8117,,549,342.0,,1971-11-24,,,2
21,21,100,1981-11-04 00:00:00.000000,1990-07-25 00:00:00.000000,8118,8119.0,550,94.0,146.0,1950-09-19,1990-07-25 00:00:00.000000,,16
22,22,100,2021-12-09 00:00:00.000000,,8120,,549,133.0,,1969-05-21,,,36
23,23,100,2015-03-17 00:00:00.000000,2024-07-28 00:00:00.000000,8121,8122.0,550,84.0,84.0,2009-01-08,2024-07-28 00:00:00.000000,,6
24,24,100,1990-01-08 00:00:00.000000,,8123,,549,86.0,,1984-04-21,,,42
25,25,100,1974-11-08 00:00:00.000000,,8124,,549,64.0,,1950-10-19,,,28
26,26,142,2023-09-04 19:46:15.045953,,8125,,549,327.0,234.0,1976-05-10,1987-01-13 00:00:00.000000,,15
27,27,100,2007-06-25 00:00:00.000000,,8126,,549,328.0,21.0,1971-07-13,2000-10-12 00:00:00.000000,,10
28,28,100,1955-01-07 00:00:00.000000,,8127,,549,332.0,,1953-03-09,,,18
29,29,100,2009-07-25 00:00:00.000000,,8128,,549,307.0,298.0,1969-06-08,2020-07-29 00:00:00.000000,,24
30,30,59,2025-02-02 19:46:15.045953,,8129,,549,198.0,,2007-04-20,,,9
31,31,100,1957-09-12 00:00:00.000000,2016-05-04 00:00:00.000000,8130,8131.0,550,100.0,297.0,1952-07-01,2016-05-04 00:00:00.000000,,46
32,32,100,1955-08-18 00:00:00.000000,2020-11-10 00:00:00.000000,8132,8133.0,550,13.0,299.0,1954-02-02,2020-11-10 00:00:00.000000,,24
33,33,100,1971-08-26 00:00:00.000000,,8134,,549,211.0,,1958-07-20,,,44
34,34,100,1952-05-12 00:00:00.000000,,8135,,549,110.0,,1950-10-10,,,29
35,35,100,1977-04-06 00:00:00.000000,,8136,,549,28.0,225.0,1969-05-22,1992-11-13 00:00:00.000000,,13
36,36,100,1955-05-20 00:00:00.000000,,8137,,549,115.0,,1954-04-26,,,34
37,37,100,1955-10-28 00:00:00.000000,2024-01-21 00:00:00.000000,8138,8139.0,550,162.0,45.0,1953-09-07,2024-01-21 00:00:00.000000,,24
38,38,106,2010-04-14 19:46:15.045953,,8140,,549,183.0,,1963-12-21,,,11
39,39,100,1958-05-10 00:00:00.000000,,8141,,549,240.0,305.0,1957-11-20,2019-05-27 00:00:00.000000,,6
40,40,100,1964-05-27 00:00:00.000000,,8142,,549,50.0,,1959-09-26,,,47
41,41,100,1954-11-16 00:00:00.000000,,8143,,549,64.0,,1950-02-13,,,28
42,42,47,2025-03-10 19:46:15.045953,2025-04-06 19:46:15.045953,8144,8145.0,550,34.0,250.0,2010-11-03,2025-04-06 19:46:15.045953,,2
43,43,46,2012-02-20 19:46:15.045953,,8146,,549,71.0,,1956-07-07,,,13
44,44,100,1977-08-29 00:00:00.000000,,8147,,549,51.0,,1953-08-15,,,46
45,45,117,2022-05-03 19:46:15.045953,2024-12-13 19:46:15.045953,8148,8149.0,550,332.0,156.0,1958-08-13,2024-12-13 19:46:15.045953,,18
46,46,242,2019-07-14 19:46:15.045953,,8150,,549,329.0,,2004-08-31,,,24
47,47,100,1986-09-18 00:00:00.000000,1988-01-19 00:00:00.000000,8151,8152.0,550,216.0,270.0,1971-01-11,1988-01-19 00:00:00.000000,,32
48,48,179,2023-12-12 19:46:15.045953,,8153,,549,169.0,,2016-10-01,,,32
49,49,100,1975-02-18 00:00:00.000000,,8154,,549,94.0,,1950-07-10,,,16
50,50,100,1993-06-20 00:00:00.000000,,8155,,549,171.0,,1981-12-04,,,20
51,51,100,1978-12-01 00:00:00.000000,1979-07-10 00:00:00.000000,8156,8157.0,550,261.0,345.0,1971-09-20,1979-07-10 00:00:00.000000,1979-07-10 00:00:00.000000,26
52,52,100,1955-04-09 00:00:00.000000,1961-01-20 00:00:00.000000,8158,8159.0,550,248.0,227.0,1951-02-09,1961-01-20 00:00:00.000000,,48
